0	0.64
200	0.59
400	0.60
600	0.59
800	0.55
1000	0.50
1200	0.43
1400	0.44
1600	0.49
1800	0.59
2000	0.62
2200	0.76
2400	0.87
2600	0.88
2800	0.83
3000	0.67
3200	0.54
3400	0.46
3600	0.44
3800	0.56
4000	0.69
4200	0.79
4400	0.79
4600	0.79
4800	0.87
5000	1.00
5200	1.04
5400	1.01
5600	0.87
5800	0.79
6000	0.71
6200	0.65
6400	0.63
6600	0.61
6800	0.61
7000	0.52
7200	0.40
7400	0.29
7600	0.19
7800	0.26
8000	0.36
8200	0.43
8400	0.33
8600	0.22
8800	0.17
9000	0.20
9200	0.17
9400	0.17
9600	0.19
9800	0.23
10000	0.32
10200	0.34
10400	0.31
10600	0.27
10800	0.22
11000	0.15
11200	0.08
11400	0.10
11600	0.20
11800	0.26
12000	0.22
12200	0.27
12400	0.40
12600	0.47
12800	0.60
13000	0.57
13200	0.43
13400	0.18
13600	0.24
13800	0.57
14000	0.80
14200	0.77
14400	0.65
14600	0.39
14800	0.09
15000	0.24
15200	0.44
15400	0.65
15600	0.81
15800	0.87
16000	0.95
16200	1.14
16400	1.22
16600	1.23
16800	1.20
17000	1.04
17200	0.93
17400	0.85
17600	0.72
17800	0.74
18000	0.68
18200	0.64
18400	0.74
18600	0.84
18800	0.83
19000	0.68
19200	0.63
19400	0.57
19600	0.58
19800	0.59
20000	0.72
20200	1.03
20400	1.24
20600	1.28
20800	1.09
21000	0.89
21200	0.79
21400	0.77
21600	0.80
21800	0.76
22000	0.74
22200	0.63
22400	0.33
22600	0.18
22800	0.39
23000	0.56
23200	0.65
23400	0.75
23600	0.96
23800	1.17
24000	1.22
24200	1.16
24400	1.07
24600	1.05
24800	1.15
25000	1.22
25200	1.23
25400	1.20
25600	1.23
25800	1.47
26000	1.57
26200	1.45
26400	1.27
26600	1.04
26800	0.90
27000	0.76
27200	0.66
27400	0.59
27600	0.63
27800	0.66
28000	0.73
28200	0.77
28400	0.80
28600	0.81
28800	0.80
29000	0.81
29200	0.80
29400	0.77
29600	0.76
29800	0.79
30000	0.61
30200	0.51
30400	0.50
30600	0.49
30800	0.62
31000	0.87
31200	1.01
31400	1.02
31600	1.02
31800	1.07
32000	1.17
32200	1.18
32400	1.15
32600	1.09
32800	1.05
33000	1.09
33200	1.07
33400	1.06
33600	1.18
33800	1.21
34000	1.17
34200	1.09
34400	1.06
34600	1.15
34800	1.05
35000	1.09
35200	1.14
35400	1.15
35600	1.12
35800	1.01
36000	0.72
36200	0.54
36400	0.57
36600	0.69
36800	0.98
37000	1.18
37200	1.26
37400	1.25
37600	1.11
37800	0.89
38000	0.66
38200	0.50
38400	0.47
38600	0.35
38800	0.35
39000	0.52
39200	0.80
39400	1.24
39600	1.57
39800	1.76
